task_name,method,return_mean_up,return_std,return_median_up,return_ci95,score_mean_up,score_std,score_median_up,score_ci95,win_rate_up,steps_to_T_down,p95_latency_ms_down,p99_latency_ms_down,max_latency_ms_down,loop_overrun_rate_down,e2e_overrun_rate_down,actual_cpu_e2e_p95_ms_down,actual_cpu_e2e_p99_ms_down,actual_cpu_e2e_max_ms_down,actual_cpu_e2e_overrun_rate_down
gym-blackjack,DLGPR-full,-0.12,0.39101008796307146,-0.1,0.24235056334895436,-0.12,0.39101008796307146,-0.1,0.24235056334895436,0.38,,23.117589754232373,23.81925782650246,23.97709185168186,0.0,0.0,,,,
gym-blackjack,GA-only,0.0,0.24944382578492943,0.0,0.15460688499833664,0.0,0.24944382578492943,0.0,0.15460688499833664,0.44000000000000006,,23.19065976538562,23.63920904614374,23.78492080805508,0.0,0.0,,,,
gym-blackjack,PSO-only,0.0,0.24944382578492943,0.0,0.15460688499833664,0.0,0.24944382578492943,0.0,0.15460688499833664,0.44000000000000006,,22.556504477160473,22.74315331618935,23.383939433350527,0.0,0.0,,,,
gym-blackjack,RL-only,-0.14,0.4325634186002223,-0.1,0.268105584508127,-0.14,0.4325634186002223,-0.1,0.268105584508127,0.38,,23.13721188906124,23.573126407480363,23.66855680307352,0.0,0.0,,,,
gym-blackjack,fixed-split,-0.16,0.37475918193480523,-0.2,0.2322781474391807,-0.16,0.37475918193480523,-0.2,0.2322781474391807,0.36,,23.057948619369164,23.712345951778424,23.83617957243821,0.0,0.0,,,,
gym-blackjack,greedy-improvement,-0.12000000000000002,0.39101008796307146,-0.1,0.24235056334895436,-0.12000000000000002,0.39101008796307146,-0.1,0.24235056334895436,0.38,,23.114784896813365,23.810693738214585,23.852620155191627,0.0,0.0,,,,
gym-blackjack,no-diversity,-0.16,0.37475918193480523,-0.2,0.2322781474391807,-0.16,0.37475918193480523,-0.2,0.2322781474391807,0.36,,23.345685402751496,23.671749359677722,23.88680899489615,0.0,0.0,,,,
gym-blackjack,no-handshake,0.0,0.24944382578492943,0.0,0.15460688499833664,0.0,0.24944382578492943,0.0,0.15460688499833664,0.44000000000000006,,23.05128100010703,23.48308291129307,23.55239812047633,0.0,0.0,,,,
gym-blackjack,no-learning-progress,-0.12000000000000002,0.39101008796307146,-0.1,0.24235056334895436,-0.12000000000000002,0.39101008796307146,-0.1,0.24235056334895436,0.38,,22.889196423599344,23.72079355989601,23.85797419138701,0.0,0.0,,,,
gym-blackjack,no-non-starvation,-0.16,0.37475918193480523,-0.2,0.2322781474391807,-0.16,0.37475918193480523,-0.2,0.2322781474391807,0.36,,23.057624979500055,23.570734539722597,23.64141927763784,0.0,0.0,,,,
gym-blackjack,no-ucb,-0.12,0.39101008796307146,-0.1,0.24235056334895436,-0.12,0.39101008796307146,-0.1,0.24235056334895436,0.38,,22.796001893772022,23.369766993348325,23.43654868458882,0.0,0.0,,,,
gym-blackjack,relaxed-delta-min,0.0,0.24944382578492946,0.0,0.15460688499833664,0.0,0.24944382578492946,0.0,0.15460688499833664,0.44000000000000006,,26.066488881848176,26.384346861406648,26.480256552951683,0.6,0.6,,,,
gym-blackjack,round-robin,-0.16,0.37475918193480523,-0.2,0.2322781474391807,-0.16,0.37475918193480523,-0.2,0.2322781474391807,0.36,,23.057948619369164,23.712345951778424,23.83617957243821,0.0,0.0,,,,
gym-blackjack,strict-delta-max,-0.12,0.39101008796307146,-0.1,0.24235056334895436,-0.12,0.39101008796307146,-0.1,0.24235056334895436,0.38,,23.117589754232373,23.81925782650246,23.97709185168186,0.0,0.0,,,,
gym-cliffwalking,DLGPR-full,-80.0,0.0,-80.0,0.0,-80.0,0.0,-80.0,0.0,0.0,,23.067243347388136,23.852317662562765,23.92844262776848,0.0,0.0,,,,
gym-cliffwalking,GA-only,-80.0,0.0,-80.0,0.0,-80.0,0.0,-80.0,0.0,0.0,,22.99134929959945,23.609216749804062,23.64371697135879,0.0,0.0,,,,
gym-cliffwalking,PSO-only,-80.0,0.0,-80.0,0.0,-80.0,0.0,-80.0,0.0,0.0,,22.912257146720673,23.353673973709896,23.43507280927985,0.0,0.0,,,,
gym-cliffwalking,RL-only,-80.0,0.0,-80.0,0.0,-80.0,0.0,-80.0,0.0,0.0,,23.431100067235217,23.836611323561208,23.966026149998694,0.0,0.0,,,,
gym-cliffwalking,fixed-split,-80.0,0.0,-80.0,0.0,-80.0,0.0,-80.0,0.0,0.0,,23.2970681509304,23.881206958485976,23.91546293393981,0.0,0.0,,,,
