benchmark,task_name,method,timing_mode,do_not_start_rule,charged_e2e_p95_ms_down,charged_e2e_p99_ms_down,charged_e2e_max_ms_down,charged_loop_overrun_rate_down,charged_e2e_overrun_rate_down,actual_cpu_loop_p95_ms_down,actual_cpu_e2e_p95_ms_down,actual_cpu_e2e_p99_ms_down,actual_cpu_e2e_max_ms_down,actual_cpu_loop_overrun_rate_down,actual_cpu_e2e_overrun_rate_down,mean_unused_charged_loop_budget_ms_context,intervals
gymnasium-toy-text,gym-cliffwalking,DLGPR-full,simulated_charged,strict_delta_max,23.067243347388136,23.852317662562765,23.92844262776848,0.0,0.0,514.746949999244,516.746949999244,586.1925409974647,591.8257999942871,1.0,1.0,2.5504306973085744,120
gymnasium-toy-text,gym-cliffwalking,fixed-split,simulated_charged,strict_delta_max,23.2970681509304,23.881206958485976,23.91546293393981,0.0,0.0,356.06642000566353,358.06642000566353,394.40311100089457,425.3818999928189,1.0,1.0,2.4349868132769052,120
gymnasium-toy-text,gym-cliffwalking,greedy-improvement,simulated_charged,strict_delta_max,23.158470681083212,23.532017729115182,23.586265974118483,0.0,0.0,287.41584499875904,289.41584499875904,315.503750993259,317.7655999966664,1.0,1.0,2.695953230831713,120
gymnasium-toy-text,gym-cliffwalking,no-handshake,simulated_charged,strict_delta_max,23.191493259558072,23.64969885666615,23.92844262776848,0.0,0.0,276.7047199995431,278.7047199995431,300.4153019936639,305.2035999931395,1.0,1.0,2.5465858220086774,120
gymnasium-toy-text,gym-cliffwalking,no-non-starvation,simulated_charged,strict_delta_max,23.158470681083212,23.532017729115182,23.586265974118483,0.0,0.0,292.3532349974266,294.3532349974266,310.57219400189933,321.2631999991136,1.0,1.0,2.695953230831713,120
gymnasium-toy-text,gym-cliffwalking,robust-DLGPR,simulated_charged,strict_delta_max,23.067243347388136,23.852317662562765,23.92844262776848,0.0,0.0,1129.4358799998008,1131.4358799998008,1290.8589670036163,1304.2423000074923,1.0,1.0,2.5504306973085744,120
gymnasium-toy-text,gym-cliffwalking,robust-near-elite-DLGPR,simulated_charged,strict_delta_max,23.158470681083212,23.532017729115182,23.586265974118483,0.0,0.0,530.049854999379,532.049854999379,585.2251629998791,586.8161000030814,1.0,1.0,2.695953230831713,120
gymnasium-toy-text,gym-cliffwalking,round-robin,simulated_charged,strict_delta_max,23.2970681509304,23.881206958485976,23.91546293393981,0.0,0.0,351.0442099941429,353.0442099941429,399.6393540050777,410.8569000014104,1.0,1.0,2.4349868132769052,120
gymnasium-toy-text,gym-frozenlake-4x4,DLGPR-full,simulated_charged,strict_delta_max,23.062088736981657,23.583424533146125,23.70595623078291,0.0,0.0,94.4108249983401,96.4108249983401,102.45870300920797,113.64619999181014,1.0,1.0,2.558534046691314,120
gymnasium-toy-text,gym-frozenlake-4x4,fixed-split,simulated_charged,strict_delta_max,23.22549147652725,23.747691345709207,23.85975310197241,0.0,0.0,94.26773000741376,96.26773000741376,109.43648000818212,121.65890000283252,1.0,1.0,2.6540546740653896,120
