task_name,method,return_mean_up,return_std,return_median_up,return_ci95,score_mean_up,score_std,score_median_up,score_ci95,win_rate_up,steps_to_T_down,p95_latency_ms_down,p99_latency_ms_down,max_latency_ms_down,loop_overrun_rate_down,e2e_overrun_rate_down,actual_cpu_e2e_p95_ms_down,actual_cpu_e2e_p99_ms_down,actual_cpu_e2e_max_ms_down,actual_cpu_e2e_overrun_rate_down
gym-cliffwalking,DLGPR-full,-4.0,0.0,-4.0,0.0,-4.0,0.0,-4.0,0.0,0.0,,75.83099000781658,77.04593699563704,78.56429999606917,0.0,0.0,75.9322500025155,77.14649600340637,78.68060000124387,0.0
gym-cliffwalking,relaxed-delta-min,-4.0,0.0,-4.0,0.0,-4.0,0.0,-4.0,0.0,0.0,,119.750770010578,120.40505600474717,121.19270000199322,0.99,0.99,119.9689450027654,120.59773699736978,121.35379999905126,0.99
gym-cliffwalking,strict-delta-max,-4.0,0.0,-4.0,0.0,-4.0,0.0,-4.0,0.0,0.0,,75.12295000065933,76.65011299970502,77.99779999710154,0.0,0.0,75.2132849998452,76.7626439970627,78.12329999957001,0.0
gym-frozenlake-4x4,DLGPR-full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,66.81363499897998,67.0763940087636,67.81830001069466,0.0,0.0,67.12469000245619,67.37445200240472,68.19139999948675,0.0
gym-frozenlake-4x4,relaxed-delta-min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,105.17772498875276,105.4281850103871,105.79300002224043,0.98,0.98,105.65101499865706,105.92746200032707,106.28009999869391,0.98
gym-frozenlake-4x4,strict-delta-max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,67.10691000240331,67.31262499633885,67.38439998822287,0.0,0.0,67.4062000032427,67.60999100239133,67.71800000366056,0.0
line-duel,DLGPR-full,0.3540000000000001,0.6126010120788243,-0.0799999999999999,0.5369684623886211,0.3540000000000001,0.6126010120788243,-0.0799999999999999,0.5369684623886211,0.4,32.0,63.37436001973401,63.610317996135564,63.631899994798005,0.0,0.0,64.01429999474203,64.22618700482417,64.37340000207769,0.0
line-duel,relaxed-delta-min,0.3540000000000001,0.6126010120788243,-0.0799999999999999,0.5369684623886211,0.3540000000000001,0.6126010120788243,-0.0799999999999999,0.5369684623886211,0.4,32.0,102.11780001242005,102.40594900249562,102.41079998901114,0.7,0.7,103.24973999500797,103.38485300504544,103.3999999979278,1.0
line-duel,strict-delta-max,0.35800000000000004,0.6089499158387329,-0.0799999999999999,0.5337681354296075,0.35800000000000004,0.6089499158387329,-0.0799999999999999,0.5337681354296075,0.4,32.0,63.44705998177233,63.587215008956264,63.70749999565305,0.0,0.0,64.1205949975847,64.25256199981959,64.42699999548495,0.0
minigrid-empty-5x5,DLGPR-full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,64.04642999674252,65.79502499771479,66.11430000135442,0.0,0.0,64.11672000082035,65.8634630011511,66.19640000077197,0.0
minigrid-empty-5x5,relaxed-delta-min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,131.18608000382665,134.90705300486297,135.95179999334505,1.0,1.0,131.33999500038044,135.07830199399905,136.09820000216132,1.0
minigrid-empty-5x5,strict-delta-max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,64.61064499904751,79.6600780105655,83.41989999258658,0.0,0.0,64.68764000106603,79.75084300356686,83.50719999521971,0.0
resource-defense,DLGPR-full,0.1509932,0.0033465324143058745,0.1526,0.002933364995179414,0.1509932,0.0033465324143058745,0.1526,0.002933364995179414,0.0,,63.84009502013214,64.15013499390625,64.1931999832741,0.0,0.0,64.36865500123531,64.68213200110768,64.8932000019704,0.0
resource-defense,relaxed-delta-min,0.14500759999999996,0.009728934206787509,0.147808,0.008527786828119947,0.14500759999999996,0.009728934206787509,0.147808,0.008527786828119947,0.0,,102.93107999728818,103.0775330068718,103.19959999993443,0.58,0.58,103.83290499972645,104.11349400230392,104.3108999999822,0.89
resource-defense,strict-delta-max,0.15036039999999998,0.0036822662587053467,0.151164,0.0032276486849618408,0.15036039999999998,0.0036822662587053467,0.151164,0.0032276486849618408,0.0,,63.863479987558094,64.26876098157663,64.39359998854343,0.0,0.0,64.40252000225883,64.86906899473979,65.03429999953369,0.0
