benchmark,task_name,method,timing_mode,do_not_start_rule,charged_e2e_p95_ms_down,charged_e2e_p99_ms_down,charged_e2e_max_ms_down,charged_loop_overrun_rate_down,charged_e2e_overrun_rate_down,actual_cpu_loop_p95_ms_down,actual_cpu_e2e_p95_ms_down,actual_cpu_e2e_p99_ms_down,actual_cpu_e2e_max_ms_down,actual_cpu_loop_overrun_rate_down,actual_cpu_e2e_overrun_rate_down,mean_unused_charged_loop_budget_ms_context,intervals
gymnasium-toy-text,gym-cliffwalking,DLGPR-full,actual_cpu_raw,strict_delta_max,75.83099000781658,77.04593699563704,78.56429999606917,0.0,0.0,65.9322500025155,75.9322500025155,77.14649600340637,78.68060000124387,0.0,0.0,27.201696999036358,100
gymnasium-toy-text,gym-cliffwalking,relaxed-delta-min,actual_cpu_raw,relaxed_delta_min,119.750770010578,120.40505600474717,121.19270000199322,0.99,0.99,109.9689450027654,119.9689450027654,120.59773699736978,121.35379999905126,0.99,0.99,0.00828599997330457,100
gymnasium-toy-text,gym-cliffwalking,strict-delta-max,actual_cpu_raw,strict_delta_max,75.12295000065933,76.65011299970502,77.99779999710154,0.0,0.0,65.2132849998452,75.2132849998452,76.7626439970627,78.12329999957001,0.0,0.0,27.519566000119084,100
gymnasium-toy-text,gym-frozenlake-4x4,DLGPR-full,actual_cpu_raw,strict_delta_max,66.81363499897998,67.0763940087636,67.81830001069466,0.0,0.0,57.12469000245619,67.12469000245619,67.37445200240472,68.19139999948675,0.0,0.0,34.94600599973637,100
gymnasium-toy-text,gym-frozenlake-4x4,relaxed-delta-min,actual_cpu_raw,relaxed_delta_min,105.17772498875276,105.4281850103871,105.79300002224043,0.98,0.98,95.65101499865706,105.65101499865706,105.92746200032707,106.28009999869391,0.98,0.98,0.016609999944921582,100
gymnasium-toy-text,gym-frozenlake-4x4,strict-delta-max,actual_cpu_raw,strict_delta_max,67.10691000240331,67.31262499633885,67.38439998822287,0.0,0.0,57.4062000032427,67.4062000032427,67.60999100239133,67.71800000366056,0.0,0.0,35.50070800083631,100
minigrid,minigrid-empty-5x5,DLGPR-full,actual_cpu_raw,strict_delta_max,64.04642999674252,65.79502499771479,66.11430000135442,0.0,0.0,54.11672000082035,64.11672000082035,65.8634630011511,66.19640000077197,0.0,0.0,38.05376400036039,100
minigrid,minigrid-empty-5x5,relaxed-delta-min,actual_cpu_raw,relaxed_delta_min,131.18608000382665,134.90705300486297,135.95179999334505,1.0,1.0,121.33999500038044,131.33999500038044,135.07830199399905,136.09820000216132,1.0,1.0,0.0,100
minigrid,minigrid-empty-5x5,strict-delta-max,actual_cpu_raw,strict_delta_max,64.61064499904751,79.6600780105655,83.41989999258658,0.0,0.0,54.68764000106603,64.68764000106603,79.75084300356686,83.50719999521971,0.0,0.0,37.54598200073815,100
self-contained-game-ai,line-duel,DLGPR-full,actual_cpu_raw,strict_delta_max,63.37436001973401,63.610317996135564,63.631899994798005,0.0,0.0,54.01429999474203,64.01429999474203,64.22618700482417,64.37340000207769,0.0,0.0,37.62898800065159,100
self-contained-game-ai,line-duel,relaxed-delta-min,actual_cpu_raw,relaxed_delta_min,102.11780001242005,102.40594900249562,102.41079998901114,0.7,0.7,93.24973999500797,103.24973999500797,103.38485300504544,103.3999999979278,1.0,1.0,0.13256699904741254,100
self-contained-game-ai,line-duel,strict-delta-max,actual_cpu_raw,strict_delta_max,63.44705998177233,63.587215008956264,63.70749999565305,0.0,0.0,54.1205949975847,64.1205949975847,64.25256199981959,64.42699999548495,0.0,0.0,38.20258899933833,100
self-contained-rts-micro,resource-defense,DLGPR-full,actual_cpu_raw,strict_delta_max,63.84009502013214,64.15013499390625,64.1931999832741,0.0,0.0,54.36865500123532,64.36865500123531,64.68213200110768,64.8932000019704,0.0,0.0,37.604730000020936,100
self-contained-rts-micro,resource-defense,relaxed-delta-min,actual_cpu_raw,relaxed_delta_min,102.93107999728818,103.0775330068718,103.19959999993443,0.58,0.58,93.83290499972645,103.83290499972645,104.11349400230392,104.3108999999822,0.89,0.89,0.24630599983793217,100
self-contained-rts-micro,resource-defense,strict-delta-max,actual_cpu_raw,strict_delta_max,63.863479987558094,64.26876098157663,64.39359998854343,0.0,0.0,54.40252000225882,64.40252000225883,64.86906899473979,65.03429999953369,0.0,0.0,37.44697799971618,100
