benchmark,task_name,method,timing_mode,budget_unit,atomic_eval_rollouts,mean_online_rollout_equivalents_per_interval,total_online_rollout_equivalents,mean_charged_loop_budget_used,mean_actual_cpu_loop_wall_ms,mean_candidates_per_interval,accounting_scope
gymnasium-toy-text,gym-cliffwalking,DLGPR-full,actual_cpu_raw,ms,,,,62.79830300096364,62.887266000543605,3.0,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
gymnasium-toy-text,gym-cliffwalking,relaxed-delta-min,actual_cpu_raw,ms,,,,103.41732400025649,103.58246700016025,4.79,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
gymnasium-toy-text,gym-cliffwalking,strict-delta-max,actual_cpu_raw,ms,,,,62.480433999880916,62.56709100001899,3.0,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
gymnasium-toy-text,gym-frozenlake-4x4,DLGPR-full,actual_cpu_raw,ms,,,,55.05399400026363,55.33425600013288,7.84,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
gymnasium-toy-text,gym-frozenlake-4x4,relaxed-delta-min,actual_cpu_raw,ms,,,,92.172459999274,92.64551899963408,12.98,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
gymnasium-toy-text,gym-frozenlake-4x4,strict-delta-max,actual_cpu_raw,ms,,,,54.49929199916369,54.78451600007247,7.59,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
minigrid,minigrid-empty-5x5,DLGPR-full,actual_cpu_raw,ms,,,,51.94623599963961,52.01348899980076,2.0,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
minigrid,minigrid-empty-5x5,relaxed-delta-min,actual_cpu_raw,ms,,,,117.44993200001772,117.5836289999279,4.0,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
minigrid,minigrid-empty-5x5,strict-delta-max,actual_cpu_raw,ms,,,,52.45401799926185,52.51532700029202,2.01,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
self-contained-game-ai,line-duel,DLGPR-full,actual_cpu_raw,ms,,,,52.37101199934841,52.96285500007798,16.54,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
self-contained-game-ai,line-duel,relaxed-delta-min,actual_cpu_raw,ms,,,,90.61758399933751,91.68237000019872,27.3,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
self-contained-game-ai,line-duel,strict-delta-max,actual_cpu_raw,ms,,,,51.79741100066167,52.40942100004759,16.13,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
self-contained-rts-micro,resource-defense,DLGPR-full,actual_cpu_raw,ms,,,,52.395269999979064,52.93927800063102,15.49,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
self-contained-rts-micro,resource-defense,relaxed-delta-min,actual_cpu_raw,ms,,,,90.9858620014711,91.89047399966512,24.43,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
self-contained-rts-micro,resource-defense,strict-delta-max,actual_cpu_raw,ms,,,,52.55302200028382,53.0995560001611,14.48,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
