run_id,seed,method,task_name,interval,atomic_index,module,charged_ms,cpu_ms,value,score,win_rate,improvement_rate,diversity,learning_progress,evaluation_rollouts,training_rollouts,handoff_evaluation_rollouts,rollout_equivalents,remaining_before_ms,remaining_after_ms,do_not_start_rule,handshake_events,note
minigrid-empty-5x5-fullyobs_robust-DLGPR_seed0,0,robust-DLGPR,minigrid-empty-5x5-fullyobs,0,0,GA,5.0,85.0190999917686,0.0,0.0,0.0,0.0,1.0372299338996565,0.023293027002197774,5,0,0,5,40.0,35.0,strict_rollout_equivalent_max,1,cross_layer_handoff_executed
minigrid-empty-5x5-fullyobs_robust-DLGPR_seed0,0,robust-DLGPR,minigrid-empty-5x5-fullyobs,0,1,PSO,5.0,80.129100009799,0.0,0.0,0.0,0.0,0.0,0.028756036153703236,5,0,0,5,35.0,30.0,strict_rollout_equivalent_max,1,cross_layer_handoff_executed
minigrid-empty-5x5-fullyobs_robust-DLGPR_seed0,0,robust-DLGPR,minigrid-empty-5x5-fullyobs,0,2,RL,16.0,263.2037000148557,0.0,0.0,0.0,0.0,0.0,0.0,5,1,10,16,30.0,14.0,strict_rollout_equivalent_max,2,cross_layer_handoff_executed
minigrid-empty-5x5-fullyobs_robust-DLGPR_seed0,0,robust-DLGPR,minigrid-empty-5x5-fullyobs,0,3,GA,5.0,85.2739000110887,0.0,0.0,0.0,0.0,1.0372299338996565,0.023142350606678085,5,0,0,5,14.0,9.0,strict_rollout_equivalent_max,1,cross_layer_handoff_executed
minigrid-empty-5x5-fullyobs_robust-DLGPR_seed0,0,robust-DLGPR,minigrid-empty-5x5-fullyobs,0,4,GA,5.0,83.16249999916181,0.0,0.0,0.0,0.0,1.0372299338996565,0.021111934813267206,5,0,0,5,9.0,4.0,strict_rollout_equivalent_max,1,cross_layer_handoff_executed
minigrid-empty-5x5-fullyobs_robust-DLGPR_seed0,0,robust-DLGPR,minigrid-empty-5x5-fullyobs,1,0,GA,5.0,89.0085999853909,0.0,0.0,0.0,0.0,1.0372299338996565,0.02584252347234086,5,0,0,5,40.0,35.0,strict_rollout_equivalent_max,1,cross_layer_handoff_executed
minigrid-empty-5x5-fullyobs_robust-DLGPR_seed0,0,robust-DLGPR,minigrid-empty-5x5-fullyobs,1,1,PSO,5.0,84.95539997238666,0.0,0.0,0.0,0.0,0.0,0.024019608474180477,5,0,0,5,35.0,30.0,strict_rollout_equivalent_max,1,cross_layer_handoff_executed
minigrid-empty-5x5-fullyobs_robust-DLGPR_seed0,0,robust-DLGPR,minigrid-empty-5x5-fullyobs,1,2,RL,16.0,270.54990001488477,0.0,0.0,0.0,0.0,0.0,0.0450625,5,1,10,16,30.0,14.0,strict_rollout_equivalent_max,2,cross_layer_handoff_executed
minigrid-empty-5x5-fullyobs_robust-DLGPR_seed0,0,robust-DLGPR,minigrid-empty-5x5-fullyobs,1,3,GA,5.0,85.18609998282045,0.0,0.0,0.0,0.0,1.0372299338996565,0.02512285844745703,5,0,0,5,14.0,9.0,strict_rollout_equivalent_max,1,cross_layer_handoff_executed
minigrid-empty-5x5-fullyobs_robust-DLGPR_seed0,0,robust-DLGPR,minigrid-empty-5x5-fullyobs,1,4,GA,5.0,85.87280003121123,0.0,0.0,0.0,0.0,1.0372299338996565,0.0199159521798558,5,0,0,5,9.0,4.0,strict_rollout_equivalent_max,1,cross_layer_handoff_executed
