benchmark,task_name,method,timing_mode,budget_unit,atomic_eval_rollouts,mean_online_rollout_equivalents_per_interval,total_online_rollout_equivalents,mean_charged_loop_budget_used,mean_actual_cpu_loop_wall_ms,mean_candidates_per_interval,accounting_scope
minigrid,minigrid-empty-5x5-fullyobs,DLGPR-full,rollout_normalized,rollout-equivalent unit,2,39.05,4686,39.05,701.5796258347109,16.483333333333334,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
minigrid,minigrid-empty-5x5-fullyobs,GA-only,rollout_normalized,rollout-equivalent unit,2,40.0,4800,40.0,742.2549866697713,20.0,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
minigrid,minigrid-empty-5x5-fullyobs,PSO-only,rollout_normalized,rollout-equivalent unit,2,40.0,4800,40.0,673.862087499098,20.0,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
minigrid,minigrid-empty-5x5-fullyobs,RL-only,rollout_normalized,rollout-equivalent unit,2,39.0,4680,39.0,658.5005658353717,13.0,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
minigrid,minigrid-empty-5x5-fullyobs,fixed-split,rollout_normalized,rollout-equivalent unit,2,39.0,4680,39.0,685.3249741655114,12.0,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
minigrid,minigrid-empty-5x5-fullyobs,greedy-improvement,rollout_normalized,rollout-equivalent unit,2,40.0,4800,40.0,743.6236375006653,20.0,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
minigrid,minigrid-empty-5x5-fullyobs,robust-DLGPR,rollout_normalized,rollout-equivalent unit,5,36.0,4320,36.0,592.0171808325298,5.0,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
minigrid,minigrid-empty-5x5-fullyobs,robust-near-elite-DLGPR,rollout_normalized,rollout-equivalent unit,5,38.69166666666667,4643,38.69166666666667,641.8562949998886,6.375,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
