comparator,paired_mean_return_delta_vs_DLGPR,paired_median_return_delta_vs_DLGPR,paired_wins_up,paired_losses_down,paired_ties,effect_size_paired_rank_biserial_comparator_minus_DLGPR,effect_size_paired_cohens_dz_comparator_minus_DLGPR,tasks_with_positive_mean_delta_up,tasks_with_negative_mean_delta_down,tasks_with_zero_mean_delta,n_pairs,interpretation
GA-only,0.09729999999999997,0.0,2,0,8,1.0,0.3228073711403705,1,0,0,10,Aggregate diagnostic; confirm per-task tables and Holm-adjusted paired tests before claiming superiority.
PSO-only,-0.1901,0.0,1,3,6,-0.6,-0.31705089608769477,0,1,0,10,Aggregate diagnostic; confirm per-task tables and Holm-adjusted paired tests before claiming superiority.
RL-only,-0.47569999999999996,-0.4685,0,5,5,-1.0,-0.948628970184508,0,1,0,10,Aggregate diagnostic; confirm per-task tables and Holm-adjusted paired tests before claiming superiority.
fixed-split,0.0017999999999999794,0.0,1,1,8,0.3333333333333333,0.004036192794333743,1,0,0,10,Aggregate diagnostic; confirm per-task tables and Holm-adjusted paired tests before claiming superiority.
greedy-improvement,0.09549999999999999,0.0,2,1,7,0.6666666666666666,0.31949539240845337,1,0,0,10,Aggregate diagnostic; confirm per-task tables and Holm-adjusted paired tests before claiming superiority.
robust-DLGPR,-0.28469999999999995,0.0,0,3,7,-1.0,-0.6210235410427917,0,1,0,10,Aggregate diagnostic; confirm per-task tables and Holm-adjusted paired tests before claiming superiority.
robust-near-elite-DLGPR,-0.1901,0.0,1,3,6,-0.6,-0.47148740057518085,0,1,0,10,Aggregate diagnostic; confirm per-task tables and Holm-adjusted paired tests before claiming superiority.
