comparator,paired_mean_return_delta_vs_DLGPR,paired_median_return_delta_vs_DLGPR,paired_wins_up,paired_losses_down,paired_ties,effect_size_paired_rank_biserial_comparator_minus_DLGPR,effect_size_paired_cohens_dz_comparator_minus_DLGPR,tasks_with_positive_mean_delta_up,tasks_with_negative_mean_delta_down,tasks_with_zero_mean_delta,n_pairs,interpretation
GA-only,-0.02056681333333328,0.0,14,10,6,0.1,-0.06315245636083414,1,2,0,30,Aggregate diagnostic; confirm per-task tables and Holm-adjusted paired tests before claiming superiority.
PSO-only,-0.18593984,-0.037521400000000135,7,18,5,-0.5876923076923077,-0.49499011764818246,0,3,0,30,Aggregate diagnostic; confirm per-task tables and Holm-adjusted paired tests before claiming superiority.
RL-only,-0.42160771999999996,-0.4336823999999997,4,25,1,-0.8390804597701149,-0.8885507451251053,0,3,0,30,Aggregate diagnostic; confirm per-task tables and Holm-adjusted paired tests before claiming superiority.
fixed-split,-0.09271641333333333,0.0,10,13,7,-0.3115942028985507,-0.34357312385163635,1,2,0,30,Aggregate diagnostic; confirm per-task tables and Holm-adjusted paired tests before claiming superiority.
greedy-improvement,-0.01730829333333329,0.0,14,12,4,0.02564102564102564,-0.06390284472182263,2,1,0,30,Aggregate diagnostic; confirm per-task tables and Holm-adjusted paired tests before claiming superiority.
robust-DLGPR,0.09848137333333336,0.020000000000000004,20,7,3,0.4126984126984127,0.27325369927512455,2,1,0,30,Aggregate diagnostic; confirm per-task tables and Holm-adjusted paired tests before claiming superiority.
robust-near-elite-DLGPR,0.09891362666666667,0.02099999999999999,19,9,2,0.34236453201970446,0.3036166538232045,2,1,0,30,Aggregate diagnostic; confirm per-task tables and Holm-adjusted paired tests before claiming superiority.
